,ticker,open,close,volume
0,002027.SZ,48.0,48.0,48.0
1,2338.HK,50.0,50.0,50.0
2,000063.SZ,48.0,48.0,48.0
3,3481.TW,44.0,44.0,44.0
4,1816.HK,50.0,50.0,50.0
5,PBR-A,50.0,50.0,50.0
6,600094.SS,48.0,48.0,48.0
7,900270.KQ,1.0,1.0,1.0
8,0902.HK,50.0,50.0,50.0
9,1128.HK,50.0,50.0,50.0
10,601238.SS,48.0,48.0,48.0
11,600031.SS,48.0,48.0,48.0
12,600320.SS,48.0,48.0,48.0
13,FOXA,50.0,50.0,50.0
14,600999.SS,48.0,48.0,48.0
15,FOX,50.0,50.0,50.0
16,3993.HK,50.0,50.0,50.0
17,601155.SS,48.0,48.0,48.0
18,601985.SS,48.0,48.0,48.0
19,2899.HK,50.0,50.0,50.0
20,TMB.BK,51.0,51.0,51.0
21,600340.SS,48.0,48.0,48.0
22,208640.KQ,1.0,1.0,1.0
23,600029.SS,48.0,48.0,48.0
24,SXX.L,52.0,52.0,52.0
25,002475.SZ,48.0,48.0,48.0
26,900340.KQ,1.0,1.0,1.0
27,2800.HK,50.0,50.0,50.0
28,6881.HK,50.0,50.0,50.0
29,600606.SS,48.0,48.0,48.0
30,HUR.L,52.0,52.0,52.0
31,MEXCHEM.MX,51.0,51.0,51.0
32,2492.TW,44.0,44.0,44.0
33,GE,50.0,50.0,50.0
34,065450.KQ,1.0,1.0,1.0
35,005110.KS,24.0,24.0,24.0
36,601669.SS,48.0,48.0,48.0
37,SBUX,50.0,50.0,50.0
38,601225.SS,48.0,48.0,48.0
39,000338.SZ,48.0,48.0,48.0
40,150840.KQ,1.0,1.0,1.0
41,1177.HK,50.0,50.0,50.0
42,027830.KQ,1.0,1.0,1.0
43,600010.SS,48.0,48.0,48.0
44,1093.HK,50.0,50.0,50.0
45,0966.HK,50.0,50.0,50.0
46,1359.HK,50.0,50.0,50.0
47,600115.SS,48.0,48.0,48.0
48,603993.SS,48.0,48.0,48.0
49,000895.SZ,48.0,48.0,48.0
50,GILD,50.0,50.0,50.0
51,600011.SS,48.0,48.0,48.0
52,MSNG.ME,49.0,49.0,49.0
53,0992.HK,50.0,50.0,50.0
54,DTE.SW,51.0,51.0,51.0
55,3105.TWO,44.0,44.0,44.0
56,600919.SS,48.0,48.0,48.0
57,BMY,50.0,50.0,50.0
58,LOW,50.0,50.0,50.0
59,600346.SS,48.0,48.0,48.0
60,JUST.L,52.0,52.0,52.0
61,601933.SS,48.0,48.0,48.0
62,000568.SZ,48.0,48.0,48.0
63,300122.SZ,48.0,48.0,48.0
64,601899.SS,48.0,48.0,48.0
65,SAN,50.0,50.0,50.0
66,ITX.MC,52.0,52.0,52.0
67,300015.SZ,48.0,48.0,48.0
68,601012.SS,48.0,48.0,48.0
69,002230.SZ,48.0,48.0,48.0
70,COP,50.0,50.0,50.0
71,601881.SS,48.0,48.0,48.0
72,2834.TW,44.0,44.0,44.0
73,MS,50.0,50.0,50.0
74,RGSS.ME,49.0,49.0,49.0
75,CVS,50.0,50.0,50.0
76,DTE.DE,52.0,52.0,52.0
77,BBD,50.0,50.0,50.0
78,002607.SZ,48.0,48.0,48.0
79,NHY.OL,52.0,52.0,52.0
80,SU.TO,51.0,51.0,51.0
81,002493.SZ,48.0,48.0,48.0
82,PMO.L,52.0,52.0,52.0
83,SAN.MC,52.0,52.0,52.0
84,601727.SS,48.0,48.0,48.0
85,2799.HK,50.0,50.0,50.0
86,ABEV,50.0,50.0,50.0
87,600751.SS,48.0,48.0,48.0
88,2600.HK,50.0,50.0,50.0
89,B3SA3.SA,49.0,49.0,49.0
90,6808.HK,50.0,50.0,50.0
91,QCOM,50.0,50.0,50.0
92,094190.KQ,1.0,1.0,1.0
93,VALE,50.0,50.0,50.0
94,600958.SS,48.0,48.0,48.0
95,600023.SS,48.0,48.0,48.0
96,600741.SS,48.0,48.0,48.0
97,600025.SS,48.0,48.0,48.0
98,601009.SS,48.0,48.0,48.0
99,600588.SS,48.0,48.0,48.0
100,600196.SS,48.0,48.0,48.0
101,002938.SZ,46.0,46.0,46.0
102,CELG,50.0,50.0,50.0
103,8848.T,53.0,53.0,53.0
104,600602.SS,48.0,48.0,48.0
105,600614.SS,48.0,48.0,48.0
106,601618.SS,48.0,48.0,48.0
107,600703.SS,48.0,48.0,48.0
108,1605.TW,44.0,44.0,44.0
109,601901.SS,48.0,48.0,48.0
110,SCHW,50.0,50.0,50.0
111,WHA.BK,51.0,51.0,51.0
112,VIJAYABANK.NS,45.0,45.0,45.0
113,SLB,50.0,50.0,50.0
114,2371.TW,44.0,44.0,44.0
115,601162.SS,48.0,48.0,48.0
116,601600.SS,48.0,48.0,48.0
117,600893.SS,48.0,48.0,48.0
118,000069.SZ,48.0,48.0,48.0
119,600611.SS,48.0,48.0,48.0
120,600061.SS,48.0,48.0,48.0
121,2344.TW,44.0,44.0,44.0
122,601877.SS,48.0,48.0,48.0
123,ENI.MI,52.0,52.0,52.0
124,ENEL.MI,52.0,52.0,52.0
125,600383.SS,48.0,48.0,48.0
126,ITUB,50.0,50.0,50.0
127,2018.HK,50.0,50.0,50.0
128,BSX,50.0,50.0,50.0
129,600886.SS,48.0,48.0,48.0
130,1313.HK,50.0,50.0,50.0
131,600547.SS,48.0,48.0,48.0
132,601018.SS,48.0,48.0,48.0
133,NAFTRACISHRS.MX,50.0,50.0,50.0
134,0338.HK,50.0,50.0,50.0
135,002044.SZ,48.0,48.0,48.0
136,GM,50.0,50.0,50.0
137,REITIR.IC,25.0,25.0,25.0
138,CS.PA,52.0,52.0,52.0
139,600660.SS,48.0,48.0,48.0
140,600795.SS,48.0,48.0,48.0
141,000876.SZ,48.0,48.0,48.0
142,601898.SS,48.0,48.0,48.0
143,3323.HK,50.0,50.0,50.0
144,RDF.JO,52.0,52.0,52.0
145,1030.HK,50.0,50.0,50.0
146,600271.SS,48.0,48.0,48.0
147,024740.KQ,1.0,1.0,1.0
148,002236.SZ,48.0,48.0,48.0
149,600332.SS,48.0,48.0,48.0
150,600705.SS,48.0,48.0,48.0
151,600570.SS,48.0,48.0,48.0
152,000100.SZ,48.0,48.0,48.0
153,002558.SZ,48.0,48.0,48.0
154,QLT.JO,52.0,52.0,52.0
155,601788.SS,48.0,48.0,48.0
156,TSLA,50.0,50.0,50.0
157,600438.SS,48.0,48.0,48.0
158,601919.SS,48.0,48.0,48.0
159,0817.HK,50.0,50.0,50.0
160,Z74.SI,52.0,52.0,52.0
161,600518.SS,48.0,48.0,48.0
162,IBE.MC,52.0,52.0,52.0
163,601991.SS,48.0,48.0,48.0
164,TCG.L,52.0,52.0,52.0
165,600809.SS,48.0,48.0,48.0
166,000963.SZ,48.0,48.0,48.0
167,002252.SZ,48.0,48.0,48.0
168,900040.KQ,1.0,1.0,1.0
169,1378.HK,50.0,50.0,50.0
170,600688.SS,48.0,48.0,48.0
171,601108.SS,48.0,48.0,48.0
172,000768.SZ,48.0,48.0,48.0
173,600851.SS,48.0,48.0,48.0
174,002146.SZ,48.0,48.0,48.0
175,601377.SS,48.0,48.0,48.0
176,300033.SZ,48.0,48.0,48.0
177,600928.SS,1.0,1.0,1.0
178,300003.SZ,48.0,48.0,48.0
179,002008.SZ,48.0,48.0,48.0
180,KMI,50.0,50.0,50.0
181,601607.SS,48.0,48.0,48.0
182,002602.SZ,48.0,48.0,48.0
183,002939.SZ,45.0,45.0,45.0
184,057680.KQ,1.0,1.0,1.0
185,6176.TW,44.0,44.0,44.0
186,600926.SS,48.0,48.0,48.0
187,INFY,50.0,50.0,50.0
188,002311.SZ,48.0,48.0,48.0
189,300124.SZ,48.0,48.0,48.0
190,IMP.JO,52.0,52.0,52.0
191,002202.SZ,48.0,48.0,48.0
192,002466.SZ,48.0,48.0,48.0
193,601298.SS,1.0,1.0,1.0
194,600637.SS,48.0,48.0,48.0
195,600637.SS,48.0,48.0,48.0
196,600398.SS,48.0,48.0,48.0
197,MU,50.0,50.0,50.0
198,000898.SZ,48.0,48.0,48.0
199,3808.HK,50.0,50.0,50.0
200,INGA.AS,52.0,52.0,52.0
201,600600.SS,48.0,48.0,48.0
202,002600.SZ,48.0,48.0,48.0
203,600027.SS,48.0,48.0,48.0
204,600085.SS,48.0,48.0,48.0
205,0884.HK,50.0,50.0,50.0
206,600487.SS,48.0,48.0,48.0
207,600516.SS,48.0,48.0,48.0
208,0981.HK,50.0,50.0,50.0
209,600674.SS,48.0,48.0,48.0
210,002007.SZ,48.0,48.0,48.0
211,6456.TW,44.0,44.0,44.0
212,600816.SS,48.0,48.0,48.0
213,002739.SZ,48.0,48.0,48.0
214,600895.SS,48.0,48.0,48.0
215,600111.SS,48.0,48.0,48.0
216,4293.T,26.0,26.0,26.0
217,000783.SZ,48.0,48.0,48.0
218,600619.SS,48.0,48.0,48.0
219,002001.SZ,48.0,48.0,48.0
220,600362.SS,48.0,48.0,48.0
221,JD,50.0,50.0,50.0
222,REGINN.IC,25.0,25.0,25.0
223,600188.SS,48.0,48.0,48.0
224,600297.SS,48.0,48.0,48.0
225,002456.SZ,48.0,48.0,48.0
226,601598.SS,1.0,1.0,1.0
227,LHC.JO,52.0,52.0,52.0
228,002945.SZ,1.0,1.0,1.0
229,002673.SZ,48.0,48.0,48.0
230,3037.TW,44.0,44.0,44.0
231,TPIPL.BK,51.0,51.0,51.0
232,JBSS3.SA,49.0,49.0,49.0
233,TEF.MC,52.0,52.0,52.0
234,300408.SZ,48.0,48.0,48.0
235,TLS.AX,52.0,52.0,52.0
236,2812.TW,44.0,44.0,44.0
237,1060.HK,50.0,50.0,50.0
238,KHC,50.0,50.0,50.0
239,AEG.JO,52.0,52.0,52.0
240,OGKB.ME,49.0,49.0,49.0
241,000703.SZ,48.0,48.0,48.0
242,2337.TW,44.0,44.0,44.0
243,600390.SS,48.0,48.0,48.0
244,GARAN.IS,52.0,52.0,52.0
245,ISP.MI,52.0,52.0,52.0
246,603019.SS,48.0,48.0,48.0
247,601990.SS,48.0,48.0,48.0
248,600176.SS,48.0,48.0,48.0
249,601577.SS,48.0,48.0,48.0
250,002157.SZ,48.0,48.0,48.0
251,ESSO-R.BK,51.0,51.0,51.0
252,601878.SS,48.0,48.0,48.0
253,601198.SS,48.0,48.0,48.0
254,601828.SS,48.0,48.0,48.0
255,ESSO.BK,51.0,51.0,51.0
256,600352.SS,48.0,48.0,48.0
257,600498.SS,48.0,48.0,48.0
258,AMAT,50.0,50.0,50.0
259,000709.SZ,48.0,48.0,48.0
260,600100.SS,48.0,48.0,48.0
261,SUZLON.NS,50.0,50.0,50.0
262,002422.SZ,48.0,48.0,48.0
263,000046.SZ,48.0,48.0,48.0
264,1150.SR,38.0,38.0,38.0
265,ORA.PA,52.0,52.0,52.0
266,LUMI.TA,48.0,48.0,48.0
267,002608.SZ,48.0,48.0,48.0
268,ICEAIR.IC,25.0,25.0,25.0
269,IBN,50.0,50.0,50.0
270,ENRU.ME,49.0,49.0,49.0
271,SIMINN.IC,25.0,25.0,25.0
272,1910.HK,50.0,50.0,50.0
273,601216.SS,48.0,48.0,48.0
274,600871.SS,48.0,48.0,48.0
275,2689.HK,50.0,50.0,50.0
276,601992.SS,48.0,48.0,48.0
277,600675.SS,48.0,48.0,48.0
278,ALSEA.MX,51.0,51.0,51.0
279,3406.TW,44.0,44.0,44.0
280,BBVA.MC,52.0,52.0,52.0
281,002050.SZ,48.0,48.0,48.0
282,002468.SZ,48.0,48.0,48.0
283,600535.SS,48.0,48.0,48.0
284,0268.HK,50.0,50.0,50.0
285,NOK,50.0,50.0,50.0
